GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.08,3.0000327414557733,4.067680156454481,3.0000000014973702,29.876247223014197
0.09,3.0616054483173523,4.002858265009284,3.0000000004320566,29.86638727850819
0.1,3.001330918180665,4.0001195320314835,3.000002146671628,29.855568660661866
0.11,3.000051292489926,2.9987398840074952,3.0000237805888235,30.00044181030743
0.12,3.000110706615727,2.9996101059725255,3.0000114520855776,29.966530645786804
0.13,3.0000000758463354,3.570317397501512,3.0000001602576063,29.869725131585295
0.14,3.0714055693506617,3.000069418828455,2.0000226184292464,29.392067401739542
0.15,3.0731066217399334,2.924131075263547,3.000000238110437,29.91158598680598
0.16,3.1117956806570537,2.8880664228089072,3.0000054816693744,29.90343974775236
0.17,3.0000144339236536,2.9688100378406035,3.00002888906607,29.8921224547894
0.18,3.0331447311843744,2.9568428569817744,3.000000022103716,29.89264894083837
0.19,3.049894373455797,2.938415941312681,3.00000000244519,29.89719980995066
0.2,3.8834503003382643,3.0000043825030396,2.000008253931423,29.615256239576425
0.21,3.000020357863738,2.81981849952623,3.0000002002606543,29.915795214743216
