W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.2,3.612139549446595,2.9999999987684687,2.988382407964621,29.48355996281172
0.21000000000000002,3.4113109553401486,2.999999999297544,2.9709806336713918,29.490341235846067
0.22,3.080121033343839,2.999995635176078,2.920616942118188,29.48618338542983
0.23,3.000007907074021,2.9998111347450704,3.0000054772877736,29.51519584601626
0.24000000000000002,3.0030206436751143,2.9966145335799217,3.000349070205183,29.52297002477242
0.25,3.004163982752229,2.9957149216900225,3.000003029402591,29.53790368570327
0.26,3.000048795161783,2.984754326309135,3.000010423271565,29.56437812804024
0.27,3.0000116780545474,2.929647061779737,3.070303333408325,29.642260692045905
0.28,3.000031360217937,2.9961985249445418,3.0037672399419413,29.630092958198354
0.29000000000000004,3.000039936243293,2.9585855015285523,3.0413607708206998,29.69666114676957
0.30000000000000004,3.0000890762657093,2.958003268249074,3.0419007186392726,29.745618133514256
0.31,3.0001149497927235,2.9994871362436504,3.000381742659883,29.784001876312676
0.32,3.000097239102905,2.9628775770095777,3.036950369309201,29.86076481676805
0.33,3.001207744073212,2.998781278521986,3.0000109171823865,29.920740284938972
0.34,3.00000200676093,2.894256870278788,3.0000005535937495,30.00576088843053
0.35,3.0000042000212996,2.987510938246446,3.00002650125377,30.080969955494037
0.36,3.0002263284383925,2.9380656574782122,3.0617049346089322,30.16759101392303
0.37,3.000000000593441,2.755690583577951,3.123037499656781,30.25064142331226
0.38,3.000000021037488,2.3399170090234573,3.0000306969510033,30.326023836495743
0.39,3.0003096525330335,2.0668025276248168,2.932887678852458,30.312890008503302
